dataset_version,model_name,strategy,pretrained,epochs,batch_size,val_loss,val_top1_accuracy,val_macro_f1,test_loss,test_top1_accuracy,test_macro_f1,output_dir
color,efficientnet_b3,linear_probing,True,15,32,414.5100258243018,0.6731123390777335,0.5800523161888123,376.3938121195108,0.6740931688235667,0.5850310325622559,outputs\part2\color_efficientnet_b3_linear_probing
color,vit_small,full_finetune,True,15,32,0.04000405308414889,0.9930018416206261,0.9889400601387024,0.03909343479143237,0.9933713864849936,0.9908979535102844,outputs\part2\color_vit_small_full_finetune
grayscale,vit_small,full_finetune,True,15,32,0.14219087462590985,0.9583793738489871,0.9457413554191589,0.14614629630109835,0.9585711655751092,0.9445643424987793,outputs\part2\grayscale_vit_small_full_finetune
background_segmented,vit_small,full_finetune,True,15,32,0.03724434391267831,0.9883977902308793,0.9853659272193909,0.04990612511387279,0.9861929307805597,0.9811904430389404,outputs\part2\background_segmented_vit_small_full_finetune
color,resnet50,from_scratch,False,15,32,0.11202429148263914,0.9808471454880294,0.9730203747749329,0.11936906349415323,0.9771681091355654,0.9718425869941711,outputs\part2\color_resnet50_from_scratch
